iter	Passed	Remaining
0	151	151056
1	159	79528
2	172	57309
3	182	45558
4	191	38140
5	200	33164
6	208	29599
7	217	26933
8	225	24835
9	233	23129
10	241	21744
11	250	20619
12	258	19604
13	266	18748
14	273	17960
15	281	17320
16	289	16711
17	296	16195
18	303	15691
19	312	15303
20	319	14881
21	326	14525
22	333	14176
23	340	13860
24	348	13573
25	354	13265
26	361	13041
27	369	12810
28	376	12613
29	382	12380
30	389	12185
31	396	11999
32	403	11813
33	409	11645
34	416	11488
35	424	11376
36	431	11230
37	439	11126
38	446	10992
39	453	10878
40	459	10754
41	466	10636
42	475	10573
43	481	10458
44	488	10362
45	494	10263
46	501	10169
47	507	10064
48	513	9974
49	522	9924
50	529	9846
51	536	9785
52	543	9709
53	550	9647
54	557	9578
55	564	9523
56	572	9471
57	584	9490
58	591	9433
59	598	9376
60	605	9322
61	611	9255
62	619	9216
63	626	9162
64	634	9121
65	640	9069
66	647	9021
67	654	8977
68	661	8932
69	669	8898
70	676	8849
71	683	8812
72	690	8769
73	698	8744
74	706	8709
75	714	8683
76	721	8643
77	729	8619
78	735	8576
79	742	8534
80	749	8505
81	755	8459
82	762	8429
83	769	8394
84	776	8361
85	783	8325
86	789	8288
87	797	8260
88	803	8226
89	810	8191
90	816	8157
91	823	8128
92	830	8095
93	836	8062
94	843	8036
95	850	8006
96	856	7973
97	863	7950
98	870	7925
99	878	7902
100	884	7869
101	891	7848
102	898	7820
103	904	7793
104	911	7771
105	918	7745
106	925	7725
107	932	7703
108	940	7689
109	947	7669
110	955	7649
111	961	7626
112	969	7610
113	976	7593
114	983	7571
115	992	7566
116	999	7545
117	1008	7541
118	1016	7525
119	1024	7512
120	1030	7489
121	1039	7479
122	1047	7468
123	1056	7462
124	1082	7580
125	1111	7709
126	1123	7721
127	1133	7719
128	1148	7754
129	1158	7754
130	1166	7735
131	1174	7722
132	1180	7698
133	1189	7684
134	1195	7660
135	1203	7644
136	1209	7621
137	1216	7598
138	1225	7588
139	1231	7567
140	1240	7555
141	1248	7542
142	1257	7533
143	1265	7521
144	1273	7510
145	1282	7499
146	1290	7489
147	1300	7488
148	1309	7478
149	1317	7467
150	1325	7455
151	1334	7446
152	1342	7430
153	1350	7421
154	1359	7411
155	1367	7401
156	1376	7391
157	1385	7382
158	1393	7369
159	1402	7362
160	1411	7358
161	1421	7352
162	1430	7344
163	1451	7400
164	1459	7383
165	1467	7375
166	1476	7362
167	1484	7349
168	1491	7335
169	1500	7325
170	1508	7314
171	1517	7303
172	1523	7284
173	1530	7264
174	1538	7252
175	1547	7243
176	1553	7224
177	1560	7205
178	1567	7190
179	1574	7171
180	1582	7158
181	1588	7138
182	1595	7123
183	1602	7105
184	1608	7086
185	1614	7067
186	1621	7049
187	1628	7033
188	1634	7013
189	1640	6994
190	1648	6980
191	1654	6963
192	1662	6953
193	1668	6932
194	1676	6920
195	1683	6905
196	1690	6890
197	1698	6878
198	1707	6873
199	1714	6858
200	1721	6844
201	1729	6832
202	1735	6813
203	1743	6803
204	1749	6786
205	1758	6778
206	1765	6764
207	1773	6753
208	1780	6739
209	1787	6724
210	1795	6712
211	1801	6696
212	1809	6684
213	1815	6666
214	1822	6653
215	1829	6640
216	1836	6625
217	1844	6616
218	1851	6602
219	1859	6591
220	1866	6580
221	1874	6569
222	1881	6557
223	1890	6549
224	1897	6536
225	1906	6529
226	1913	6515
227	1921	6504
228	1928	6491
229	1935	6480
230	1942	6467
231	1950	6456
232	1957	6443
233	1965	6435
234	1973	6423
235	1982	6417
236	1989	6405
237	1996	6393
238	2004	6382
239	2010	6365
240	2017	6354
241	2024	6340
242	2030	6324
243	2037	6312
244	2043	6298
245	2051	6288
246	2058	6275
247	2065	6264
248	2072	6250
249	2078	6235
250	2086	6225
251	2093	6212
252	2101	6203
253	2107	6190
254	2115	6180
255	2122	6167
256	2130	6158
257	2137	6146
258	2144	6135
259	2151	6124
260	2158	6112
261	2166	6103
262	2173	6091
263	2182	6083
264	2188	6070
265	2196	6062
266	2203	6049
267	2210	6036
268	2217	6027
269	2226	6021
270	2233	6008
271	2240	5996
272	2248	5988
273	2254	5974
274	2264	5968
275	2270	5955
276	2279	5949
277	2285	5936
278	2293	5925
279	2299	5913
280	2305	5898
281	2313	5890
282	2319	5877
283	2328	5869
284	2334	5857
285	2341	5846
286	2348	5833
287	2353	5818
288	2362	5811
289	2368	5798
290	2376	5789
291	2382	5776
292	2390	5768
293	2397	5757
294	2404	5745
295	2412	5738
296	2420	5730
297	2428	5721
298	2436	5711
299	2444	5703
300	2451	5691
301	2460	5686
302	2467	5675
303	2476	5668
304	2482	5657
305	2491	5649
306	2497	5638
307	2505	5628
308	2513	5620
309	2521	5613
310	2528	5602
